Dworzec Główny;6:49:55
Basztowa LOT;6:53:8
Teatr Bagatela;6:59:17
Batorego;7:2:30
Plac Inwalidów;7:3:37
;
06:34 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;6:34:1
Nowy Kleparz;6:35:11
Pędzichów;6:36:54
Basztowa LOT;6:38:22
Teatr Bagatela;6:42:43
Filharmonia;6:45:39
Plac Wszystkich Świętych;6:48:16
Świętej Gertrudy;7:4:13
Wawel;7:5:49
Stradom;7:6:54
Orzeszkowej;7:8:15
Centrum Kongresowe ICE;7:10:14
;
06:38 - 13 (Bronowice Małe - Nowy Bieżanów);
Urzędnicza;6:38:1
Plac Inwalidów;6:39:58
Batorego;6:41:17
Teatr Bagatela;6:43:51
Filharmonia;6:47:54
Plac Wszystkich Świętych;6:58:35
Świętej Gertrudy;7:10:12
Wawel;7:11:49
Stradom;7:12:54
;
06:42 - 2 (Cmentarz Rakowicki - Salwator);
Lubicz;6:42:1
Dworzec Główny;6:44:8
Basztowa LOT;6:46:37
Teatr Bagatela;6:49:26
Filharmonia;7:16:41
Jubilat;7:19:4
;
06:41 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;6:41:21
Plac Inwalidów;6:43:15
Batorego;6:44:33
Teatr Bagatela;6:46:11
Filharmonia;6:49:23
Plac Wszystkich Świętych;7:4:41
Świętej Gertrudy;7:16:12
Wawel;7:17:48
Stradom;7:18:53
;
06:41 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;6:41:1
Nowy Kleparz;6:42:11
Pędzichów;6:43:54
Basztowa LOT;6:45:15
Teatr Bagatela;6:47:55
Filharmonia;6:58:36
Plac Wszystkich Świętych;7:16:41
Świętej Gertrudy;7:32:31
Wawel;7:34:7
Stradom;7:35:12
Orzeszkowej;7:36:33
Centrum Kongresowe ICE;7:38:32
;
06:45 - 13 (Bronowice Małe - Nowy Bieżanów);
Urzędnicza;6:45:1
Plac Inwalidów;6:46:55
Batorego;6:48:16
Teatr Bagatela;6:49:53
Filharmonia;7:18:7
Plac Wszystkich Świętych;7:33:0
Świętej Gertrudy;7:48:57
Wawel;7:50:33
Stradom;7:51:38
;
06:48 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;6:48:1
Plac Inwalidów;6:49:56
Batorego;6:51:14
Teatr Bagatela;6:53:19
Filharmonia;7:33:0
Plac Wszystkich Świętych;7:49:26
Świętej Gertrudy;8:5:8
Wawel;8:6:44
Stradom;8:7:49
;
06:49 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;6:49:1
Nowy Kleparz;6:50:11
Pędzichów;6:51:53
Basztowa LOT;6:53:24
Teatr Bagatela;7:1:55
Filharmonia;7:49:26
Plac Wszystkich Świętych;8:5:37
Świętej Gertrudy;8:21:34
Wawel;8:23:10
Stradom;8:24:15
Orzeszkowej;8:25:36
Centrum Kongresowe ICE;8:27:35
;
06:56 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;6:56:1
Nowy Kleparz;6:57:11
Pędzichów;6:58:53
Basztowa LOT;7:0:10
Teatr Bagatela;7:8:41
Filharmonia;8:5:38
Plac Wszystkich Świętych;8:32:23
Świętej Gertrudy;8:48:19
Wawel;8:49:55
Stradom;8:51:0
Orzeszkowej;8:52:21
Centrum Kongresowe ICE;8:54:20
;
06:56 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;6:56:1
Plac Inwalidów;6:57:55
Batorego;6:59:53
Teatr Bagatela;7:28:33
Filharmonia;8:22:4
Plac Wszystkich Świętych;8:42:43
Świętej Gertrudy;8:54:25
Wawel;8:56:1
Stradom;8:57:6
;
04:43 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;4:43:1
Politechnika;4:45:41
Dworzec Główny Zachód;4:46:56
Dworzec Główny;4:48:1
Poczta Główna;4:50:36
;
04:46 - 49 (TAURON Arena Kraków Wieczysta - Nowy Bieżanów);
Rondo Grzegórzeckie;4:46:1
Rondo Mogilskie;4:49:11
Cystersów;4:51:39
;
04:45 - 22 (Kopiec Wandy - Borek Fałęcki);
Francesco Nullo;4:45:1
Teatr Variete;4:46:23
Rondo Grzegórzeckie;4:48:22
Hala Targowa;4:50:34
Starowiślna;4:51:37
Stradom;4:54:17
Orzeszkowej;4:56:1
Centrum Kongresowe ICE;4:58:0
;
04:45 - 4 (Wzgórza Krzesławickie  - Bronowice Małe);
Cystersów;4:45:1
Rondo Mogilskie;4:47:16
Lubicz;4:49:30
Dworzec Główny;4:51:31
Basztowa LOT;4:53:43
Teatr Bagatela;4:56:2
Batorego;4:58:2
Plac Inwalidów;4:59:9
;
04:44 - 19 (Dworzec Towarowy - Borek Fałęcki);
Dworzec Towarowy;4:44:1
Politechnika;4:47:29
Dworzec Główny Tunel;4:48:58
Rondo Mogilskie;4:52:28
Rondo Grzegórzeckie;4:56:9
Hala Targowa;4:58:21
Starowiślna;4:59:22
Miodowa;5:1:30
Miodowa;5:2:48
;
04:53 - 2 (Cmentarz Rakowicki - Salwator);
Lubicz;4:53:1
Dworzec Główny;4:55:5
Basztowa LOT;4:57:10
Teatr Bagatela;4:59:57
Filharmonia;5:2:29
;
04:52 - 22 (Borek Fałęcki - Kopiec Wandy);
Centrum Kongresowe ICE;4:52:1
Orzeszkowej;4:53:51
Stradom;4:54:59
Starowiślna;4:58:34
Hala Targowa;4:59:34
Rondo Grzegórzeckie;5:2:55
Teatr Variete;5:3:42
;
04:51 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;4:51:1
Stradom;4:52:12
Wawel;4:54:20
Świętej Gertrudy;4:55:55
Plac Wszystkich Świętych;4:57:18
Filharmonia;4:58:30
Teatr Bagatela;5:0:52
Batorego;5:2:57
Plac Inwalidów;5:4:4
;
04:47 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;4:47:1
Orzeszkowej;4:48:51
Stradom;4:49:52
Wawel;4:51:41
Świętej Gertrudy;4:53:15
Plac Wszystkich Świętych;4:54:39
Filharmonia;4:55:50
Teatr Bagatela;4:58:22
Basztowa LOT;5:0:47
Pędzichów;5:2:35
Nowy Kleparz;5:4:16
Dworzec Towarowy;5:6:19
;
04:50 - 4 (Bronowice Małe - Wzgórza Krzesławickie);
Urzędnicza;4:50:1
Plac Inwalidów;4:51:54
Batorego;4:53:10
Teatr Bagatela;4:54:43
Basztowa LOT;4:57:9
Dworzec Główny;4:59:2
Lubicz;5:1:7
Rondo Mogilskie;5:4:13
Cystersów;5:6:42
;
04:50 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;4:50:1
Rondo Mogilskie;4:52:44
Lubicz;4:55:3
Dworzec Główny;4:57:3
Poczta Główna;4:59:32
Stradom;5:3:55
Orzeszkowej;5:5:35
Centrum Kongresowe ICE;5:7:36
;
04:51 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;4:51:1
Orzeszkowej;4:52:52
Stradom;4:53:53
Starowiślna;4:57:18
Poczta Główna;4:58:17
Dworzec Główny;5:0:42
Lubicz;5:2:42
Rondo Mogilskie;5:5:46
Cystersów;5:8:18
;
05:02 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;5:2:1
Politechnika;5:4:43
Dworzec Główny Zachód;5:5:59
Dworzec Główny;5:7:7
Poczta Główna;5:10:21
;
04:54 - 10 (Kurdwanów - Pleszów);
Plac Wolnica;4:54:1
Stradom;4:55:11
Wawel;4:57:43
Poczta Główna;5:0:4
Dworzec Główny;5:2:44
Lubicz;5:4:43
Rondo Mogilskie;5:8:33
Cystersów;5:11:1
;
04:58 - 1 (Salwator - Wzgórza Krzesławickie);
Jubilat;4:58:1
Filharmonia;5:0:0
Plac Wszystkich Świętych;5:1:40
Poczta Główna;5:3:15
Starowiślna;5:5:45
Hala Targowa;5:6:48
Rondo Grzegórzeckie;5:10:13
Teatr Variete;5:11:0
;
05:00 - 9 (Nowy Bieżanów - Mistrzejowice);
Świętego Wawrzyńca;5:0:1
Miodowa;5:1:4
Starowiślna;5:3:56
Hala Targowa;5:4:58
Rondo Grzegórzeckie;5:8:26
Rondo Mogilskie;5:11:48
Cystersów;5:14:17
;
05:00 - 10 (Pleszów - Kurdwanów);
Cystersów;5:0:1
Rondo Mogilskie;5:2:17
Lubicz;5:4:32
Dworzec Główny;5:6:36
Poczta Główna;5:9:11
Świętej Gertrudy;5:10:42
Wawel;5:12:20
Stradom;5:13:25
;
05:04 - 2 (Salwator - Cmentarz Rakowicki);
Jubilat;5:4:1
Filharmonia;5:6:3
Teatr Bagatela;5:8:29
Basztowa LOT;5:11:18
Dworzec Główny;5:13:30
Lubicz;5:16:15
;
04:59 - 19 (Dworzec Towarowy - Borek Fałęcki);
Dworzec Towarowy;4:59:1
Politechnika;5:2:30
Dworzec Główny Tunel;5:4:0
Rondo Mogilskie;5:7:34
Rondo Grzegórzeckie;5:11:21
Hala Targowa;5:13:34
Starowiślna;5:14:35
Miodowa;5:16:43
Miodowa;5:18:1
;
05:02 - 4 (Wzgórza Krzesławickie  - Bronowice Małe);
Cystersów;5:2:1
Rondo Mogilskie;5:4:17
Lubicz;5:6:35
Dworzec Główny;5:8:50
Basztowa LOT;5:10:56
Teatr Bagatela;5:13:19
Batorego;5:15:41
Plac Inwalidów;5:16:48
Urzędnicza;5:18:43
;
05:03 - 24 (Bronowice - Kurdwanów);
Urzędnicza;5:3:1
Plac Inwalidów;5:4:54
Batorego;5:6:11
Teatr Bagatela;5:7:47
Basztowa LOT;5:10:14
Dworzec Główny;5:12:8
Poczta Główna;5:14:39
Miodowa;5:18:51
;
05:00 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;5:0:1
Orzeszkowej;5:1:52
Stradom;5:2:54
Wawel;5:4:42
Świętej Gertrudy;5:6:18
Plac Wszystkich Świętych;5:7:45
Filharmonia;5:8:57
Teatr Bagatela;5:11:29
Basztowa LOT;5:13:55
Pędzichów;5:15:44
Nowy Kleparz;5:17:24
Dworzec Towarowy;5:19:28
;
05:09 - 22 (Kopiec Wandy - Borek Fałęcki);
Francesco Nullo;5:9:1
Teatr Variete;5:10:24
Rondo Grzegórzeckie;5:12:32
Hala Targowa;5:14:45
Starowiślna;5:15:47
Stradom;5:18:29
Orzeszkowej;5:20:23
Centrum Kongresowe ICE;5:22:22
;
05:05 - 24 (Kurdwanów - Bronowice);
Świętego Wawrzyńca;5:5:1
Miodowa;5:6:5
Starowiślna;5:8:23
Poczta Główna;5:9:22
Dworzec Główny;5:12:38
Basztowa LOT;5:15:35
Teatr Bagatela;5:17:57
Batorego;5:20:1
Plac Inwalidów;5:21:8
;
05:08 - 13 (Bronowice Małe - Nowy Bieżanów);
Urzędnicza;5:8:1
Plac Inwalidów;5:9:53
Batorego;5:11:11
Teatr Bagatela;5:12:59
Filharmonia;5:15:40
Plac Wszystkich Świętych;5:17:19
Świętej Gertrudy;5:18:52
Wawel;5:20:29
;
05:06 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;5:6:2
Orzeszkowej;5:7:55
Stradom;5:8:57
Starowiślna;5:12:25
Poczta Główna;5:13:23
Dworzec Główny;5:15:50
Lubicz;5:18:12
Rondo Mogilskie;5:21:28
Cystersów;5:23:57
;
05:05 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;5:5:1
Rondo Mogilskie;5:7:21
Lubicz;5:10:22
Dworzec Główny;5:12:24
Poczta Główna;5:15:57
Starowiślna;5:18:5
Stradom;5:20:46
Orzeszkowej;5:22:18
Centrum Kongresowe ICE;5:24:18
;
05:06 - 19 (Borek Fałęcki - Dworzec Towarowy);
Świętego Wawrzyńca;5:6:2
Miodowa;5:7:7
Starowiślna;5:9:33
Hala Targowa;5:10:34
Rondo Grzegórzeckie;5:13:59
Rondo Mogilskie;5:17:26
Dworzec Główny Tunel;5:20:18
Politechnika;5:21:46
Dworzec Towarowy;5:24:33
;
05:10 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;5:10:1
Stradom;5:11:13
Wawel;5:13:22
Świętej Gertrudy;5:14:58
Plac Wszystkich Świętych;5:16:38
Filharmonia;5:17:49
Teatr Bagatela;5:20:15
Batorego;5:22:18
Plac Inwalidów;5:23:27
;
05:13 - 2 (Cmentarz Rakowicki - Salwator);
Lubicz;5:13:1
Dworzec Główny;5:15:6
Basztowa LOT;5:17:13
Teatr Bagatela;5:20:28
Filharmonia;5:23:41
Jubilat;5:25:55
;
05:11 - 1 (Salwator - Wzgórza Krzesławickie);
Jubilat;5:11:2
Filharmonia;5:13:2
Plac Wszystkich Świętych;5:14:42
Poczta Główna;5:16:28
Starowiślna;5:20:21
Hala Targowa;5:21:21
Rondo Grzegórzeckie;5:24:49
Teatr Variete;5:25:37
;
05:13 - 1 (Wzgórza Krzesławickie - Salwator);
Francesco Nullo;5:13:1
Teatr Variete;5:14:24
Rondo Grzegórzeckie;5:16:25
Hala Targowa;5:18:38
Starowiślna;5:19:43
Poczta Główna;5:22:13
Plac Wszystkich Świętych;5:24:50
Filharmonia;5:26:3
Jubilat;5:28:14
;
05:22 - 49 (TAURON Arena Kraków Wieczysta - Nowy Bieżanów);
Rondo Grzegórzeckie;5:22:1
Rondo Mogilskie;5:25:51
;
05:21 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;5:21:1
Politechnika;5:23:43
Dworzec Główny Zachód;5:25:2
Dworzec Główny;5:26:9
Poczta Główna;5:28:46
;
05:13 - 13 (Nowy Bieżanów - Bronowice Małe);
Plac Wolnica;5:13:1
Stradom;5:14:11
Wawel;5:16:22
Świętej Gertrudy;5:17:57
Plac Wszystkich Świętych;5:19:54
Filharmonia;5:21:5
Teatr Bagatela;5:23:29
Batorego;5:25:52
Plac Inwalidów;5:27:1
Urzędnicza;5:28:57
;
05:21 - 3 (Nowy Bieżanów - Krowodrza Górka);
Poczta Główna;5:21:1
Dworzec Główny;5:23:28
Dworzec Główny Zachód;5:25:58
Politechnika;5:27:19
Dworzec Towarowy;5:29:47
;
05:21 - 2 (Salwator - Cmentarz Rakowicki);
Jubilat;5:21:1
Filharmonia;5:23:1
Teatr Bagatela;5:25:29
Basztowa LOT;5:27:57
Dworzec Główny;5:29:52
Lubicz;5:31:49
;
05:13 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;5:13:1
Nowy Kleparz;5:14:9
Pędzichów;5:15:51
Basztowa LOT;5:17:8
Teatr Bagatela;5:19:30
Filharmonia;5:21:52
Plac Wszystkich Świętych;5:23:34
Świętej Gertrudy;5:25:8
Wawel;5:26:47
Stradom;5:27:52
Orzeszkowej;5:30:10
Centrum Kongresowe ICE;5:32:9
;
05:13 - 19 (Dworzec Towarowy - Borek Fałęcki);
Dworzec Towarowy;5:13:20
Politechnika;5:16:51
Dworzec Główny Tunel;5:18:21
Rondo Mogilskie;5:22:47
Rondo Grzegórzeckie;5:26:31
Hala Targowa;5:28:45
Starowiślna;5:29:47
Miodowa;5:31:55
Miodowa;5:33:14
;
05:18 - 10 (Pleszów - Kurdwanów);
Cystersów;5:18:2
Rondo Mogilskie;5:20:20
Lubicz;5:22:35
Dworzec Główny;5:24:40
Poczta Główna;5:27:15
Świętej Gertrudy;5:28:47
Wawel;5:30:24
Stradom;5:31:29
;
05:20 - 9 (Nowy Bieżanów - Mistrzejowice);
Świętego Wawrzyńca;5:20:1
Miodowa;5:21:4
Starowiślna;5:23:30
Hala Targowa;5:24:34
Rondo Grzegórzeckie;5:28:16
Rondo Mogilskie;5:31:38
Cystersów;5:34:9
;
05:17 - 10 (Kurdwanów - Pleszów);
Plac Wolnica;5:17:1
Stradom;5:18:12
Wawel;5:21:21
Poczta Główna;5:23:43
Dworzec Główny;5:26:2
Lubicz;5:28:46
Rondo Mogilskie;5:32:24
;
05:15 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;5:15:1
Orzeszkowej;5:16:53
Stradom;5:17:54
Wawel;5:19:45
Świętej Gertrudy;5:21:19
Plac Wszystkich Świętych;5:22:46
Filharmonia;5:24:17
Teatr Bagatela;5:27:2
Basztowa LOT;5:29:30
Pędzichów;5:31:15
Nowy Kleparz;5:32:57
Dworzec Towarowy;5:34:58
;
05:18 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;5:18:2
Stradom;5:20:14
Wawel;5:22:52
Świętej Gertrudy;5:24:47
Plac Wszystkich Świętych;5:26:11
Filharmonia;5:27:24
Teatr Bagatela;5:30:11
Batorego;5:32:15
Plac Inwalidów;5:33:23
;
05:14 - 14 (Bronowice - Mistrzejowice);
Urzędnicza;5:14:1
Plac Inwalidów;5:15:54
Batorego;5:17:11
Teatr Bagatela;5:18:46
Basztowa LOT;5:21:14
Dworzec Główny;5:23:8
Lubicz;5:25:16
Rondo Mogilskie;5:28:22
Rondo Grzegórzeckie;5:33:46
Teatr Variete;5:34:33
Francesco Nullo;5:35:39
;
05:18 - 4 (Bronowice Małe - Wzgórza Krzesławickie);
Urzędnicza;5:18:2
Plac Inwalidów;5:19:56
Batorego;5:21:12
Teatr Bagatela;5:22:46
Basztowa LOT;5:25:17
Dworzec Główny;5:27:48
Lubicz;5:30:10
Rondo Mogilskie;5:33:31
Cystersów;5:36:1
;
05:20 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;5:20:1
Plac Inwalidów;5:21:52
Batorego;5:23:10
Teatr Bagatela;5:24:47
Filharmonia;5:27:31
Plac Wszystkich Świętych;5:29:53
Świętej Gertrudy;5:33:13
Wawel;5:34:51
Stradom;5:36:0
;
05:22 - 4 (Wzgórza Krzesławickie  - Bronowice Małe);
Cystersów;5:22:1
Rondo Mogilskie;5:24:21
Lubicz;5:26:38
Dworzec Główny;5:28:40
Basztowa LOT;5:30:55
Teatr Bagatela;5:33:17
Batorego;5:35:21
Plac Inwalidów;5:36:31
;
05:24 - 22 (Borek Fałęcki - Kopiec Wandy);
Centrum Kongresowe ICE;5:24:19
Orzeszkowej;5:26:12
Stradom;5:27:46
Starowiślna;5:32:25
Hala Targowa;5:33:26
Rondo Grzegórzeckie;5:36:56
Teatr Variete;5:37:43
;
05:22 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;5:22:23
Orzeszkowej;5:24:16
Stradom;5:25:19
Starowiślna;5:28:50
Poczta Główna;5:29:50
Dworzec Główny;5:32:32
Lubicz;5:34:42
Rondo Mogilskie;5:38:1
Cystersów;5:40:29
;
05:20 - 19 (Borek Fałęcki - Dworzec Towarowy);
Świętego Wawrzyńca;5:20:33
Miodowa;5:21:48
Starowiślna;5:24:45
Hala Targowa;5:25:46
Rondo Grzegórzeckie;5:29:44
Rondo Mogilskie;5:33:28
Dworzec Główny Tunel;5:36:23
Politechnika;5:37:51
Dworzec Towarowy;5:40:37
;
05:21 - 14 (Mistrzejowice - Bronowice);
Francesco Nullo;5:21:1
Teatr Variete;5:22:24
Rondo Grzegórzeckie;5:24:10
Rondo Mogilskie;5:26:52
Lubicz;5:29:10
Dworzec Główny;5:31:18
Basztowa LOT;5:33:22
Teatr Bagatela;5:35:47
Batorego;5:37:50
Plac Inwalidów;5:38:58
Urzędnicza;5:40:54
;
05:26 - 13 (Bronowice Małe - Nowy Bieżanów);
Urzędnicza;5:26:1
Plac Inwalidów;5:27:53
Batorego;5:29:13
Teatr Bagatela;5:30:47
Filharmonia;5:33:32
Plac Wszystkich Świętych;5:35:13
Świętej Gertrudy;5:36:46
Wawel;5:38:23
;
05:25 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;5:25:1
Stradom;5:26:13
Wawel;5:28:23
Świętej Gertrudy;5:30:2
Plac Wszystkich Świętych;5:32:44
Filharmonia;5:33:58
Teatr Bagatela;5:36:33
Batorego;5:39:13
Plac Inwalidów;5:40:20
;
05:37 - 49 (TAURON Arena Kraków Wieczysta - Nowy Bieżanów);
Rondo Grzegórzeckie;5:37:17
Rondo Mogilskie;5:40:31
;
05:24 - 9 (Mistrzejowice - Nowy Bieżanów);
Cystersów;5:24:1
Rondo Mogilskie;5:27:10
Rondo Grzegórzeckie;5:31:20
Hala Targowa;5:33:36
Starowiślna;5:40:24
Miodowa;5:43:43
;
05:28 - 24 (Kurdwanów - Bronowice);
Świętego Wawrzyńca;5:28:1
Miodowa;5:29:8
Starowiślna;5:31:23
Poczta Główna;5:32:24
Dworzec Główny;5:34:50
Basztowa LOT;5:36:55
Teatr Bagatela;5:39:19
Batorego;5:41:23
Plac Inwalidów;5:42:31
;
05:37 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;5:37:1
Politechnika;5:39:44
Dworzec Główny Zachód;5:41:2
Dworzec Główny;5:42:8
Poczta Główna;5:44:46
;
05:24 - 22 (Kopiec Wandy - Borek Fałęcki);
Francesco Nullo;5:24:1
Teatr Variete;5:25:25
Rondo Grzegórzeckie;5:27:40
Hala Targowa;5:29:57
Starowiślna;5:31:0
Stradom;5:41:19
Orzeszkowej;5:42:51
Centrum Kongresowe ICE;5:44:50
;
05:20 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;5:20:1
Rondo Mogilskie;5:22:16
Lubicz;5:24:46
Dworzec Główny;5:26:49
Poczta Główna;5:29:44
Stradom;5:42:49
Orzeszkowej;5:44:21
Centrum Kongresowe ICE;5:46:20
;
05:31 - 24 (Bronowice - Kurdwanów);
Urzędnicza;5:31:1
Plac Inwalidów;5:32:54
Batorego;5:34:13
Teatr Bagatela;5:35:50
Basztowa LOT;5:38:37
Dworzec Główny;5:40:31
Poczta Główna;5:43:25
Miodowa;5:47:42
;
05:28 - 19 (Dworzec Towarowy - Borek Fałęcki);
Dworzec Towarowy;5:28:1
Politechnika;5:31:34
Dworzec Główny Tunel;5:33:5
Rondo Mogilskie;5:36:42
Rondo Grzegórzeckie;5:40:26
Hala Targowa;5:42:43
Starowiślna;5:45:10
Miodowa;5:48:36
;
05:33 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;5:33:30
Stradom;5:34:41
Wawel;5:36:54
Świętej Gertrudy;5:38:31
Plac Wszystkich Świętych;5:39:55
Filharmonia;5:41:9
Teatr Bagatela;5:43:33
Batorego;5:45:39
Plac Inwalidów;5:46:47
;
05:29 - 14 (Bronowice - Mistrzejowice);
Urzędnicza;5:29:1
Plac Inwalidów;5:30:53
Batorego;5:32:11
Teatr Bagatela;5:33:46
Basztowa LOT;5:36:18
Dworzec Główny;5:38:11
Lubicz;5:40:17
Rondo Mogilskie;5:43:36
Rondo Grzegórzeckie;5:47:34
Teatr Variete;5:48:21
Francesco Nullo;5:49:28
;
05:30 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;5:30:1
Orzeszkowej;5:31:52
Stradom;5:32:54
Wawel;5:34:44
Świętej Gertrudy;5:36:23
Plac Wszystkich Świętych;5:37:47
Filharmonia;5:39:1
Teatr Bagatela;5:41:36
Basztowa LOT;5:44:3
Pędzichów;5:45:52
Nowy Kleparz;5:47:33
Dworzec Towarowy;5:49:38
;
05:38 - 2 (Cmentarz Rakowicki - Salwator);
Lubicz;5:38:1
Dworzec Główny;5:40:7
Basztowa LOT;5:42:16
Teatr Bagatela;5:45:5
Filharmonia;5:47:37
;
05:25 - 1 (Salwator - Wzgórza Krzesławickie);
Jubilat;5:25:1
Filharmonia;5:27:3
Plac Wszystkich Świętych;5:28:44
Poczta Główna;5:30:17
Starowiślna;5:42:19
Hala Targowa;5:43:19
Rondo Grzegórzeckie;5:48:45
Teatr Variete;5:49:32
Francesco Nullo;5:50:38
;
05:35 - 13 (Nowy Bieżanów - Bronowice Małe);
Plac Wolnica;5:35:1
Stradom;5:36:14
Wawel;5:38:23
Świętej Gertrudy;5:40:0
Plac Wszystkich Świętych;5:41:27
Filharmonia;5:42:39
Teatr Bagatela;5:45:4
Batorego;5:47:41
Plac Inwalidów;5:48:51
Urzędnicza;5:50:49
;
05:36 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;5:36:2
Plac Inwalidów;5:37:53
Batorego;5:39:12
Teatr Bagatela;5:40:47
Filharmonia;5:43:31
Plac Wszystkich Świętych;5:45:12
Świętej Gertrudy;5:47:7
Wawel;5:48:45
Stradom;5:49:53
;
05:36 - 1 (Salwator - Wzgórza Krzesławickie);
Jubilat;5:36:2
Filharmonia;5:38:2
Plac Wszystkich Świętych;5:39:43
Poczta Główna;5:41:21
Starowiślna;5:44:20
Hala Targowa;5:45:22
Rondo Grzegórzeckie;5:49:57
Teatr Variete;5:50:45
;
05:42 - 2 (Salwator - Cmentarz Rakowicki);
Jubilat;5:42:1
Filharmonia;5:44:3
Teatr Bagatela;5:46:50
Basztowa LOT;5:49:4
Dworzec Główny;5:51:4
Lubicz;5:53:3
;
05:28 - 1 (Wzgórza Krzesławickie - Salwator);
Francesco Nullo;5:28:1
Teatr Variete;5:29:27
Rondo Grzegórzeckie;5:32:24
Hala Targowa;5:34:39
Starowiślna;5:42:47
Poczta Główna;5:46:28
Plac Wszystkich Świętych;5:50:13
Filharmonia;5:51:26
Jubilat;5:53:35
;
05:38 - 4 (Wzgórza Krzesławickie  - Bronowice Małe);
Cystersów;5:38:1
Rondo Mogilskie;5:40:18
Lubicz;5:42:38
Dworzec Główny;5:44:41
Basztowa LOT;5:46:56
Teatr Bagatela;5:49:18
Batorego;5:51:23
Plac Inwalidów;5:52:32
;
05:36 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;5:36:2
Orzeszkowej;5:37:52
Stradom;5:38:56
Starowiślna;5:43:38
Poczta Główna;5:44:38
Dworzec Główny;5:47:5
Lubicz;5:49:7
Rondo Mogilskie;5:52:18
Cystersów;5:54:47
;
05:35 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;5:35:1
Rondo Mogilskie;5:37:19
Lubicz;5:40:6
Dworzec Główny;5:42:12
Poczta Główna;5:45:34
Starowiślna;5:47:28
Stradom;5:51:18
Orzeszkowej;5:53:42
Centrum Kongresowe ICE;5:55:41
;
05:40 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;5:40:1
Stradom;5:41:14
Wawel;5:43:26
Świętej Gertrudy;5:45:7
Plac Wszystkich Świętych;5:46:55
Filharmonia;5:48:7
Teatr Bagatela;5:50:47
Batorego;5:52:53
Plac Inwalidów;5:54:1
Urzędnicza;5:55:59
;
05:38 - 10 (Kurdwanów - Pleszów);
Plac Wolnica;5:38:1
Stradom;5:39:13
Wawel;5:41:52
Poczta Główna;5:44:26
Dworzec Główny;5:48:20
Lubicz;5:50:23
Rondo Mogilskie;5:53:32
Cystersów;5:56:3
;
05:36 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;5:36:2
Nowy Kleparz;5:37:10
Pędzichów;5:38:52
Basztowa LOT;5:40:9
Teatr Bagatela;5:42:32
Filharmonia;5:44:57
Plac Wszystkich Świętych;5:46:38
Świętej Gertrudy;5:48:50
Wawel;5:50:28
Stradom;5:51:35
Orzeszkowej;5:54:32
Centrum Kongresowe ICE;5:56:32
;
05:35 - 19 (Borek Fałęcki - Dworzec Towarowy);
Świętego Wawrzyńca;5:35:1
Miodowa;5:36:7
Starowiślna;5:41:13
Hala Targowa;5:42:14
Rondo Grzegórzeckie;5:46:24
Rondo Mogilskie;5:50:12
Dworzec Główny Tunel;5:53:2
Politechnika;5:54:31
Dworzec Towarowy;5:57:16
;
05:40 - 4 (Bronowice Małe - Wzgórza Krzesławickie);
Urzędnicza;5:40:1
Plac Inwalidów;5:41:56
Batorego;5:43:14
Teatr Bagatela;5:44:51
Basztowa LOT;5:47:18
Dworzec Główny;5:49:29
Lubicz;5:51:37
Rondo Mogilskie;5:54:48
Cystersów;5:57:19
;
